63360 126216 
63357 63358 14 
63356 63355 18 
63353 63354 10 
63352 63353 19 
63348 63347 14 
63347 63346 15 
63346 63345 16 
63345 63344 18 
63344 63343 13 
63343 63342 16 
63342 63341 20 
63341 63340 14 
63340 63339 15 
63338 63319 15 
63327 63326 20 
63326 63307 17 
63321 63302 13 
63321 63320 18 
63320 63301 17 
63319 63300 20 
63312 63293 10 
63312 63311 17 
63311 63292 14 
63311 63310 17 
63310 63291 18 
63310 63309 19 
63309 63290 15 
63309 63308 12 
63307 63288 19 
63304 63285 19 
63303 63284 16 
63302 63283 15 
63302 63301 17 
63301 63282 18 
63300 63281 17 
63293 63274 14 
63293 63292 20 
63292 63273 20 
63292 63291 13 
63291 63272 11 
63291 63290 16 
63290 63271 12 
63290 63289 13 
63289 63270 11 
63289 63288 15 
63287 63268 16 
63284 63265 19 
63283 63264 13 
63283 63282 19 
63282 63263 19 
63281 63262 17 
63274 63273 16 
63273 63272 11 
63272 63253 17 
63272 63271 14 
63271 63252 16 
63271 63270 19 
63270 63269 14 
63269 63268 18 
63268 63249 19 
63268 63267 20 
63264 63245 10 
63264 63263 11 
63263 63244 19 
63262 63243 15 
63255 63236 10 
63255 63254 16 
63254 63235 17 
63254 63253 19 
63253 63234 15 
63253 63252 17 
63252 63233 17 
63252 63251 12 
63251 63250 18 
63250 63249 16 
63248 63229 18 
63245 63226 11 
63245 63244 11 
63244 63225 14 
63243 63224 17 
63236 63217 14 
63235 63216 16 
63234 63215 15 
63233 63214 19 
63233 63232 13 
63232 63213 12 
63232 63231 17 
63231 63212 15 
63231 63230 17 
63229 63210 20 
63229 63228 19 
63227 63208 20 
63226 63207 20 
63226 63225 12 
63225 63206 18 
63224 63205 11 
63217 63198 13 
63216 63197 20 
63216 63215 17 
63215 63196 12 
63215 63214 10 
63214 63195 13 
63214 63213 15 
63213 63194 12 
63213 63212 16 
63212 63193 15 
63212 63211 10 
63211 63192 13 
63210 63191 20 
63210 63209 16 
63207 63188 18 
63207 63206 11 
63206 63187 10 
63205 63186 10 
63204 63185 20 
63198 63179 11 
63197 63178 11 
63197 63196 18 
63196 63177 17 
63196 63195 16 
63195 63176 18 
63195 63194 15 
63194 63175 17 
63194 63193 17 
63193 63174 11 
63192 63173 16 
63191 63172 20 
63189 63188 19 
63188 63169 15 
63188 63187 10 
63187 63168 20 
63186 63167 19 
63185 63166 11 
63179 63160 20 
63178 63159 10 
63177 63158 13 
