Path Length, Path Cost,stl_time,Binary Heap Execution Time(ms), Fibonacci Heap Execution Time(ms)
1000000000000000000,1000000000000000000,0.636,0.949,1.787
1000000000000000000,1000000000000000000,0.601,0.846,1.762
1000000000000000000,1000000000000000000,0.009,0.271,0.008
9,4567161409,0.602,0.613,1.661
10,4762237890,0.61,0.676,1.7
9,3858537768,0.623,0.633,1.679
8,3520225470,0.637,0.867,1.875
5,2863622403,0.724,0.766,1.81
9,3516352483,0.647,0.702,2.044
9,2467883313,0.581,0.58,1.79
1000000000000000000,1000000000000000000,0.628,0.521,1.604
1000000000000000000,1000000000000000000,0.008,0.276,0.008
6,3413056405,0.588,0.509,1.619
1000000000000000000,1000000000000000000,0.008,0.211,0.008
12,6101247965,0.607,0.502,1.641
11,4418168846,0.585,1.446,2.223
13,5762612176,0.576,0.926,1.623
12,6593539303,0.618,0.516,1.678
9,4345317658,0.713,0.814,1.7
13,6008668793,0.624,0.586,2.141
13,6795260573,0.626,0.579,1.845
1000000000000000000,1000000000000000000,0.657,0.514,1.732
1000000000000000000,1000000000000000000,0.008,0.21,0.008
10,6969931863,0.633,0.552,1.858
11,4251830280,0.594,0.513,1.656
5,1436713782,0.595,0.53,1.661
1000000000000000000,1000000000000000000,0.008,0.242,0.009
9,2132857145,0.636,0.606,1.698
1000000000000000000,1000000000000000000,0.01,0.473,0.03
10,4074982256,0.632,0.619,1.604
8,3731901507,0.587,0.669,1.616
8,4579276378,0.578,0.672,1.686
8,3563548322,0.579,0.682,1.584
6,3515036001,0.58,0.681,1.591
10,5343733862,0.578,0.624,1.671
12,3599118841,0.578,0.608,1.65
14,5922208716,0.625,0.704,1.605
8,3753811914,0.577,0.589,1.603
4,1836928743,0.581,0.62,1.661
11,5028997723,0.594,0.637,1.853
12,4486497540,0.595,0.633,1.645
15,6611855094,0.598,0.631,1.668
15,2983597699,0.602,0.629,1.69
4,2014389874,0.596,0.673,1.64
18,5942963123,0.605,0.588,1.6
1000000000000000000,1000000000000000000,0.009,0.301,0.008
1000000000000000000,1000000000000000000,0.58,0.554,1.627
13,3861597282,0.577,0.585,1.615
6,3373273686,0.595,0.639,1.632
17,5833512749,0.568,0.595,1.552
14,4800536295,0.577,0.661,1.586
1000000000000000000,1000000000000000000,0.008,0.276,0.008
10,5184053436,0.579,0.544,1.603
11,5365730334,0.583,0.621,1.614
12,5778279278,0.584,0.644,1.628
