1000 1000
778 579 377305361
643 830 977989637
980 542 649168997
625 272 831851070
62 148 574080811
452 636 531164260
339 573 122060537
799 681 994481836
231 636 114252924
272 733 996939792
432 721 699731269
887 804 552941651
69 690 495084078
799 570 594928554
529 518 984587802
420 838 4063654
37 997 821800970
211 516 207450736
964 483 70384856
21 996 36107562
328 142 649682849
367 178 424017998
210 644 242839093
80 820 2081433
748 289 872008787
105 146 908971574
436 420 236186034
346 392 102141954
652 798 658999629
435 139 218639079
436 50 788963240
285 343 7639051
510 280 766938693
445 147 188093300
379 395 154471854
832 461 595166751
442 919 365505682
135 529 894229666
700 104 710061437
659 740 601228331
937 423 266103674
67 205 650134383
175 602 953833233
179 50 965311486
454 312 661682686
242 479 888738125
725 752 552604411
815 818 548321353
973 847 82821260
309 473 857521685
776 876 201812266
947 341 272186003
949 5 316780705
465 451 518298336
664 603 468473749
32 694 106794108
91 703 139803089
356 182 689765756
279 441 857977425
740 197 328125030
628 338 417178857
855 276 741670908
405 492 950157064
684 785 737844104
720 305 37305746
580 924 585209505
733 921 238718704
225 143 975919523
88 40 735204277
557 285 435911795
60 83 150242510
633 365 557081181
454 261 780605249
251 394 943017092
746 372 573575931
591 884 800255500
2 996 828298395
556 691 9512318
640 213 806371820
794 757 236586445
575 403 668044967
627 766 500036966
980 4 760062804
950 222 133994148
56 497 645773921
324 112 120904637
899 698 419266679
721 445 362647553
680 146 947456691
783 845 375380970
526 986 640834834
238 192 336128184
460 910 302971810
827 779 955063694
100 342 370824803
48 849 814082084
238 834 180930690
694 823 949745662
405 592 727658678
349 301 855788896
865 349 936570592
205 441 792156577
617 573 277259158
906 149 597373138
688 370 635139881
55 931 980135173
998 66 596728773
363 272 508510337
547 661 998765218
152 48 660179476
442 544 564598772
550 725 657847831
580 72 167150030
820 105 232031790
31 345 239897272
203 829 738867251
499 109 794681465
945 144 660580263
801 161 441904554
928 692 21861776
253 498 135190408
750 860 401838930
843 940 774218382
514 220 79634036
982 790 996538899
614 824 863560345
752 833 198539981
156 332 625868120
331 642 360109545
541 627 810847188
613 20 927408874
581 469 17937559
524 744 282387213
971 428 662142742
205 600 412348017
21 81 333174019
320 76 524484960
327 58 916214493
306 648 271914502
393 936 569474012
428 669 362090533
783 795 775048262
76 328 541311391
34 235 628534785
703 767 597380007
501 686 990352842
755 899 667184688
876 456 374696021
182 44 219999052
668 698 93026691
420 930 25820037
3 520 836500261
964 246 59367761
446 267 956394933
859 621 138128740
947 305 890042449
597 534 641536402
131 36 980760544
455 380 324654824
69 426 22149763
159 204 754559230
442 684 436439594
254 684 285806407
840 714 788145058
232 948 806731857
870 203 958683366
861 512 888452274
696 294 428655921
884 740 930789158
192 953 98897410
961 10 454942765
834 868 295378942
46 634 422910015
109 966 355154335
732 594 982475854
184 994 176521486
518 216 217568980
298 879 964869014
824 451 5546422
697 211 964397789
609 656 610828570
196 337 618588920
838 443 451496893
409 881 671020899
944 998 180294987
309 486 369508250
883 114 615651361
92 204 628602194
957 444 455917036
430 247 755021463
16 480 500548865
651 506 103223724
742 789 139050571
259 294 164358983
122 595 557185594
723 353 945035498
546 733 671191911
265 899 58427612
454 299 232421939
178 27 199168229
83 211 372149508
531 292 825314254
270 837 265037872
779 305 635537887
443 263 107776759
300 295 692536955
664 228 395841100
273 727 369403427
984 843 207173116
336 558 20309143
200 187 757854694
656 332 88679412
361 899 547903937
975 855 683432604
855 833 621709793
760 862 118690037
617 13 692838096
758 143 632429011
307 394 757912615
834 965 705955964
974 338 636237482
168 84 28447517
605 446 492328985
323 483 116193223
150 774 607805130
287 365 592059025
943 523 938727735
123 790 775497512
991 588 438985739
365 273 20521129
583 366 118897727
58 969 711692533
325 66 529302977
493 73 387887398
693 421 70499416
349 173 967979614
938 711 743459625
328 83 378540416
350 288 655409870
681 474 374354673
970 551 718068995
66 425 433510963
206 376 133947371
763 733 680789577
282 296 910130310
718 952 750716869
712 251 109437610
355 366 314556426
555 60 964963643
389 117 629985455
929 653 404431605
124 911 813155781
841 206 234213418
484 520 352166498
16 846 381663323
10 290 635350061
293 763 702163272
185 503 298746153
479 551 307581865
566 135 140285746
386 938 711334689
168 299 6131242
391 371 153607486
175 422 238243092
742 402 375696359
716 839 906266655
58 448 905175858
659 379 286798630
433 521 966786546
637 582 613457816
245 747 856506192
454 281 739502667
27 588 970190480
970 690 855800345
346 692 782253852
61 803 952834115
761 110 883625609
630 28 391491469
662 515 786825098
18 528 810511278
684 91 267390044
547 961 607272276
957 387 463811716
853 437 296843368
72 600 326559119
750 832 480353998
831 898 535855845
474 103 639322200
687 157 423499141
680 207 589661879
761 973 39389723
98 949 842299974
174 78 34033160
636 184 655761895
777 72 963969511
62 478 989269695
495 604 415824340
579 302 310723049
998 339 309513619
22 35 944234365
325 270 48538888
745 502 332821329
838 965 652097106
695 445 108937968
579 187 259065032
267 190 366644623
633 58 839408492
490 888 646071575
718 62 209957633
219 115 125652277
656 621 172936825
869 258 383219771
968 883 818149880
490 819 174539999
165 832 591888359
117 492 651939645
680 592 707415405
905 13 199969427
710 805 329409817
681 861 546620956
327 63 900498060
74 981 700319871
219 170 329419018
619 796 368382422
692 471 533337297
173 816 230891220
279 335 104068521
775 869 830748357
248 547 604801814
689 481 33551250
42 815 660478858
283 323 604787974
549 237 809256791
873 174 947825391
568 455 450000562
435 661 223176923
160 809 754757708
271 790 455936856
127 80 284363746
668 402 919541579
222 370 102433888
744 918 235128260
304 529 773589954
179 444 616264035
242 251 901935189
962 923 5701719
261 71 121261832
375 874 195053004
877 351 353740389
522 384 303869862
900 627 95040806
99 384 951224643
675 580 207553491
70 50 491780250
725 704 887368640
465 250 14266922
728 114 661088978
878 86 491791588
526 630 679102597
285 776 656414685
765 684 887121428
322 931 829264119
787 302 403293290
389 975 506828451
941 932 380808894
494 54 447672674
176 691 945295678
654 799 673935913
926 870 754388048
799 812 451338783
410 605 11955106
262 386 759046519
139 196 883126395
64 201 976325733
185 949 660016263
410 918 210397053
270 953 262072906
679 651 166791244
416 122 298042912
257 484 480167999
903 211 717344583
61 422 549697907
694 776 334917359
814 579 178192849
136 254 415195832
267 663 523467989
603 796 986039885
504 74 631562574
979 952 126990019
3 815 987381041
718 589 588051528
704 402 965207463
204 499 428078061
650 306 39625593
188 843 747038347
334 913 138128590
643 395 58096120
596 456 299100802
114 508 395327706
986 568 534466700
947 868 586253940
580 590 788247567
83 285 801783273
437 631 43257721
823 237 266369046
330 978 716573712
354 79 650369684
7 424 165238409
169 428 212807027
2 313 333020841
179 137 127443107
243 379 801116434
462 757 269613107
358 432 622234356
523 831 203855149
685 10 442949516
821 230 20363719
519 266 288131266
796 230 414052147
725 528 452902833
298 239 8040678
621 280 703569982
939 917 576386112
602 132 745287133
792 224 583919135
932 251 328754604
98 284 953379895
454 792 234416916
531 107 389028272
69 966 360319259
487 489 792669530
14 376 385136123
961 905 771037630
528 550 319667931
398 569 943057108
39 353 702126989
264 683 497944503
885 495 37081692
212 519 939075414
839 315 852576988
555 463 838359116
618 218 696595400
180 800 21756933
387 259 624201555
668 92 602250577
808 524 661627373
523 73 312155424
740 853 165428019
766 861 539053551
348 392 407295561
10 50 791509768
61 961 608049658
903 275 617042995
820 561 505038444
763 259 652676486
618 132 751424945
706 558 860368935
277 71 399158893
701 259 611718077
690 385 633026761
569 809 416625301
587 457 400907598
770 173 167747516
21 957 910493094
213 149 650940227
373 166 73529168
747 494 907330676
931 111 150575383
33 153 785748367
202 648 429148974
728 530 450223189
501 651 173366571
6 1 936390125
473 334 253225865
899 927 35554249
128 387 396042964
478 970 885104962
816 57 664852879
463 38 675538051
593 523 734894602
844 604 483720949
820 388 854089513
247 251 210891555
26 717 712816638
649 560 837440531
639 583 54983429
406 919 191839208
494 804 572428427
773 816 254046546
818 531 153985853
98 834 746850235
192 962 736534375
888 565 365179941
174 826 138930293
286 473 804981195
223 674 632082975
517 458 738092760
696 147 51632174
251 496 719564085
103 828 643321284
356 582 991328464
490 71 891874760
858 626 836638071
303 196 433584972
576 510 48128809
697 145 589807267
557 838 37905524
243 877 147435872
559 207 126522905
11 93 441841180
91 702 689546333
765 344 516481432
278 299 105378054
457 187 744037167
164 631 182196205
61 310 817974837
377 4 238957139
413 74 418570940
18 361 495286468
419 242 326944307
500 172 602974739
489 8 550127420
940 466 232912562
237 322 351945034
913 250 733973844
833 85 108668683
699 269 550249836
321 302 920271455
59 745 946142386
936 339 151674897
273 269 851559884
525 277 543824250
810 934 928564400
331 378 891481938
808 611 994782206
872 891 607866586
542 101 751013118
907 101 924426522
575 171 186746242
664 641 717764790
207 684 469861493
952 750 827800407
216 427 329862833
207 438 864972992
941 234 414260970
774 70 600470446
22 672 577389763
693 420 607884237
855 384 555978480
444 144 834228606
913 959 352626683
248 279 702591209
647 333 234382491
138 339 501925595
51 535 666427743
144 205 249099742
467 121 299121363
744 164 53237617
830 136 491349011
187 853 660454852
844 227 836236479
316 635 919917415
431 899 857902635
318 118 639980624
946 810 395994320
733 270 435117444
813 467 910207378
476 828 471427441
336 74 48830464
762 284 819029647
289 158 328879063
906 215 449249383
773 265 611430018
682 881 832149533
881 417 779388614
57 923 867338038
192 439 880247709
515 443 630161598
660 230 142801809
968 404 725772171
291 565 633791238
727 367 165223026
237 296 843716194
559 570 286405465
94 414 487959491
744 594 208312393
289 931 602938394
519 639 431282372
77 472 857659482
838 349 987628018
532 375 588813507
972 590 375896340
439 631 886549483
235 135 716530110
504 429 683997867
834 767 689204295
61 870 182292962
245 617 147929637
798 190 788906188
89 672 2276889
95 657 342289641
659 196 284895555
287 339 306888261
344 523 799336528
88 993 228825656
703 821 625766079
480 801 315757012
706 800 724602853
256 845 850630664
630 822 523199189
990 922 639528275
198 544 943518859
765 405 85421954
283 556 356550187
536 95 250665910
547 278 896723866
553 201 519086735
941 982 197098771
753 994 451263997
455 887 764363827
964 932 474768971
620 849 563415786
87 145 268192492
705 480 231884234
701 115 665364485
867 920 734119793
13 53 467487622
140 593 821622982
811 225 170751162
984 763 174843888
553 529 771623822
917 904 571330247
914 531 73434624
200 278 617940918
627 674 129684768
185 622 689778336
264 745 609566457
509 213 505717955
17 985 707851012
638 848 554933516
123 297 335912399
899 88 129872797
237 727 784505098
594 276 409592808
677 345 957205574
567 963 552476653
25 799 593450031
276 693 279176342
