Path Length, Path Cost,Binary Heap Execution Time(ms), Fibonacci Heap Execution Time(ms)
1000000000000000000,1000000000000000000,0.903,0.032
1000000000000000000,1000000000000000000,0.762,0.028
1000000000000000000,1000000000000000000,0.301,0.011
1000000000000000000,1000000000000000000,0.301,0.011
1000000000000000000,1000000000000000000,0.301,0.011
1000000000000000000,1000000000000000000,0.304,0.015
1000000000000000000,1000000000000000000,0.305,0.025
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.345,0.105
1000000000000000000,1000000000000000000,0.3,0.012
1000000000000000000,1000000000000000000,0.334,0.138
1000000000000000000,1000000000000000000,0.31,0.012
1000000000000000000,1000000000000000000,0.34,0.086
1000000000000000000,1000000000000000000,0.323,0.012
1000000000000000000,1000000000000000000,0.33,0.013
1000000000000000000,1000000000000000000,0.366,0.193
1000000000000000000,1000000000000000000,0.313,0.015
1000000000000000000,1000000000000000000,0.312,0.012
1000000000000000000,1000000000000000000,0.328,0.079
1000000000000000000,1000000000000000000,0.667,0.022
1000000000000000000,1000000000000000000,0.491,0.014
1000000000000000000,1000000000000000000,0.424,0.027
1000000000000000000,1000000000000000000,0.303,0.012
1000000000000000000,1000000000000000000,0.308,0.018
1000000000000000000,1000000000000000000,0.346,0.011
1000000000000000000,1000000000000000000,0.327,0.012
1000000000000000000,1000000000000000000,0.31,0.012
1000000000000000000,1000000000000000000,0.34,0.146
1000000000000000000,1000000000000000000,0.309,0.013
1000000000000000000,1000000000000000000,0.304,0.014
1000000000000000000,1000000000000000000,0.302,0.015
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.302,0.014
1000000000000000000,1000000000000000000,0.31,0.044
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.319,0.075
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.302,0.017
1000000000000000000,1000000000000000000,0.302,0.012
1000000000000000000,1000000000000000000,0.3,0.011
1000000000000000000,1000000000000000000,0.312,0.011
1000000000000000000,1000000000000000000,0.304,0.014
1000000000000000000,1000000000000000000,0.302,0.016
1000000000000000000,1000000000000000000,0.314,0.052
1000000000000000000,1000000000000000000,0.334,0.104
1000000000000000000,1000000000000000000,0.301,0.011
1000000000000000000,1000000000000000000,0.328,0.083
1000000000000000000,1000000000000000000,0.303,0.014
1000000000000000000,1000000000000000000,0.302,0.014
1000000000000000000,1000000000000000000,0.302,0.014
1000000000000000000,1000000000000000000,0.417,0.342
1000000000000000000,1000000000000000000,0.301,0.017
1000000000000000000,1000000000000000000,0.302,0.013
1000000000000000000,1000000000000000000,0.303,0.013
1000000000000000000,1000000000000000000,0.302,0.014
1000000000000000000,1000000000000000000,0.304,0.065
1000000000000000000,1000000000000000000,0.302,0.012
1000000000000000000,1000000000000000000,0.352,0.018
1000000000000000000,1000000000000000000,0.367,0.012
1000000000000000000,1000000000000000000,0.437,0.012
1000000000000000000,1000000000000000000,0.404,0.012
1000000000000000000,1000000000000000000,0.484,0.012
1000000000000000000,1000000000000000000,0.441,0.013
1000000000000000000,1000000000000000000,0.489,0.236
1000000000000000000,1000000000000000000,0.387,0.013
1000000000000000000,1000000000000000000,0.32,0.012
1000000000000000000,1000000000000000000,0.301,0.011
1000000000000000000,1000000000000000000,0.301,0.013
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.348,0.011
1000000000000000000,1000000000000000000,0.306,0.012
1000000000000000000,1000000000000000000,0.343,0.012
1000000000000000000,1000000000000000000,0.305,0.02
1000000000000000000,1000000000000000000,0.31,0.011
1000000000000000000,1000000000000000000,0.325,0.012
1000000000000000000,1000000000000000000,0.304,0.012
1000000000000000000,1000000000000000000,0.306,0.012
1000000000000000000,1000000000000000000,0.302,0.014
1000000000000000000,1000000000000000000,0.301,0.014
1000000000000000000,1000000000000000000,0.3,0.013
1000000000000000000,1000000000000000000,0.3,0.011
1000000000000000000,1000000000000000000,0.331,0.104
1000000000000000000,1000000000000000000,0.344,0.137
1000000000000000000,1000000000000000000,0.302,0.012
1000000000000000000,1000000000000000000,0.302,0.012
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.302,0.013
1000000000000000000,1000000000000000000,0.301,0.011
1000000000000000000,1000000000000000000,0.301,0.011
1000000000000000000,1000000000000000000,0.301,0.012
1,602250577,0.339,0.133
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.31,0.011
1000000000000000000,1000000000000000000,0.337,0.01
1000000000000000000,1000000000000000000,0.3,0.012
1000000000000000000,1000000000000000000,0.288,0.011
1000000000000000000,1000000000000000000,0.302,0.046
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.292,0.015
1000000000000000000,1000000000000000000,0.291,0.012
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.314,0.094
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.354,0.07
1000000000000000000,1000000000000000000,0.31,0.012
1000000000000000000,1000000000000000000,0.326,0.014
1000000000000000000,1000000000000000000,0.3,0.014
1000000000000000000,1000000000000000000,0.313,0.011
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.295,0.012
1000000000000000000,1000000000000000000,0.313,0.029
1000000000000000000,1000000000000000000,0.33,0.012
1000000000000000000,1000000000000000000,0.293,0.011
1000000000000000000,1000000000000000000,0.293,0.012
1000000000000000000,1000000000000000000,0.316,0.014
1000000000000000000,1000000000000000000,0.334,0.012
1000000000000000000,1000000000000000000,0.443,0.014
1000000000000000000,1000000000000000000,0.322,0.014
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.36,0.011
1000000000000000000,1000000000000000000,0.29,0.011
1000000000000000000,1000000000000000000,0.29,0.014
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.29,0.011
1000000000000000000,1000000000000000000,0.29,0.012
1000000000000000000,1000000000000000000,0.332,0.161
1000000000000000000,1000000000000000000,0.29,0.013
1000000000000000000,1000000000000000000,0.29,0.011
1000000000000000000,1000000000000000000,0.294,0.022
1000000000000000000,1000000000000000000,0.3,0.012
1000000000000000000,1000000000000000000,0.312,0.09
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.29,0.011
1000000000000000000,1000000000000000000,0.29,0.013
1000000000000000000,1000000000000000000,0.311,0.011
1000000000000000000,1000000000000000000,0.354,0.06
1000000000000000000,1000000000000000000,0.292,0.011
1000000000000000000,1000000000000000000,0.303,0.011
1000000000000000000,1000000000000000000,0.293,0.011
1000000000000000000,1000000000000000000,0.348,0.011
1000000000000000000,1000000000000000000,0.375,0.013
11,6338065335,0.569,0.473
1000000000000000000,1000000000000000000,0.326,0.012
1000000000000000000,1000000000000000000,0.298,0.015
1000000000000000000,1000000000000000000,0.293,0.014
1000000000000000000,1000000000000000000,0.306,0.016
1000000000000000000,1000000000000000000,0.294,0.016
1000000000000000000,1000000000000000000,0.318,0.012
1000000000000000000,1000000000000000000,0.295,0.012
1000000000000000000,1000000000000000000,0.291,0.012
1000000000000000000,1000000000000000000,0.313,0.014
1000000000000000000,1000000000000000000,0.333,0.012
1000000000000000000,1000000000000000000,0.294,0.012
1000000000000000000,1000000000000000000,0.311,0.032
1000000000000000000,1000000000000000000,0.294,0.011
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.29,0.011
1000000000000000000,1000000000000000000,0.29,0.012
1000000000000000000,1000000000000000000,0.33,0.039
1000000000000000000,1000000000000000000,0.291,0.011
1000000000000000000,1000000000000000000,0.311,0.011
1000000000000000000,1000000000000000000,0.338,0.116
1000000000000000000,1000000000000000000,0.3,0.012
1000000000000000000,1000000000000000000,0.295,0.011
1000000000000000000,1000000000000000000,0.293,0.011
1000000000000000000,1000000000000000000,0.341,0.16
1000000000000000000,1000000000000000000,0.308,0.071
1000000000000000000,1000000000000000000,0.37,0.011
1000000000000000000,1000000000000000000,0.375,0.012
1000000000000000000,1000000000000000000,0.294,0.015
1000000000000000000,1000000000000000000,0.296,0.018
1000000000000000000,1000000000000000000,0.292,0.023
1000000000000000000,1000000000000000000,0.324,0.128
1000000000000000000,1000000000000000000,0.301,0.012
1000000000000000000,1000000000000000000,0.29,0.013
1000000000000000000,1000000000000000000,0.303,0.059
1000000000000000000,1000000000000000000,0.295,0.028
1000000000000000000,1000000000000000000,0.296,0.015
1000000000000000000,1000000000000000000,0.296,0.012
1000000000000000000,1000000000000000000,0.291,0.011
1000000000000000000,1000000000000000000,0.291,0.011
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.29,0.011
1000000000000000000,1000000000000000000,0.318,0.028
1000000000000000000,1000000000000000000,0.329,0.012
1000000000000000000,1000000000000000000,0.322,0.011
1000000000000000000,1000000000000000000,0.34,0.011
1000000000000000000,1000000000000000000,0.311,0.021
1000000000000000000,1000000000000000000,0.309,0.011
1000000000000000000,1000000000000000000,0.297,0.011
1000000000000000000,1000000000000000000,0.353,0.011
1000000000000000000,1000000000000000000,0.35,0.012
1000000000000000000,1000000000000000000,0.309,0.012
1000000000000000000,1000000000000000000,0.491,0.012
1000000000000000000,1000000000000000000,0.616,0.015
1000000000000000000,1000000000000000000,0.377,0.013
1000000000000000000,1000000000000000000,0.29,0.011
1000000000000000000,1000000000000000000,0.317,0.099
1000000000000000000,1000000000000000000,0.29,0.012
1000000000000000000,1000000000000000000,0.31,0.011
1000000000000000000,1000000000000000000,0.299,0.021
1000000000000000000,1000000000000000000,0.316,0.011
1000000000000000000,1000000000000000000,0.292,0.011
1000000000000000000,1000000000000000000,0.302,0.011
1000000000000000000,1000000000000000000,0.301,0.011
1000000000000000000,1000000000000000000,0.291,0.011
1000000000000000000,1000000000000000000,0.334,0.012
1000000000000000000,1000000000000000000,0.291,0.015
1000000000000000000,1000000000000000000,0.344,0.206
1000000000000000000,1000000000000000000,0.293,0.014
1000000000000000000,1000000000000000000,0.292,0.011
1000000000000000000,1000000000000000000,0.319,0.112
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.289,0.011
1000000000000000000,1000000000000000000,0.29,0.011
1000000000000000000,1000000000000000000,0.307,0.012
1000000000000000000,1000000000000000000,0.346,0.113
0,0,0.369,0.099
1000000000000000000,1000000000000000000,0.312,0.011
1000000000000000000,1000000000000000000,0.299,0.014
1000000000000000000,1000000000000000000,0.321,0.019
1000000000000000000,1000000000000000000,0.301,0.03
1000000000000000000,1000000000000000000,0.29,0.012
1000000000000000000,1000000000000000000,0.302,0.05
1000000000000000000,1000000000000000000,0.292,0.014
1000000000000000000,1000000000000000000,0.303,0.013
1000000000000000000,1000000000000000000,0.291,0.012
4,652151139,0.291,0.015
1000000000000000000,1000000000000000000,0.326,0.092
1000000000000000000,1000000000000000000,0.334,0.012
1000000000000000000,1000000000000000000,0.375,0.063
1000000000000000000,1000000000000000000,0.429,0.023
1000000000000000000,1000000000000000000,0.348,0.012
1000000000000000000,1000000000000000000,0.311,0.012
1000000000000000000,1000000000000000000,0.315,0.02
1000000000000000000,1000000000000000000,0.376,0.125
1000000000000000000,1000000000000000000,0.332,0.012
1000000000000000000,1000000000000000000,0.305,0.011
1000000000000000000,1000000000000000000,0.302,0.012
1000000000000000000,1000000000000000000,0.303,0.012
1000000000000000000,1000000000000000000,0.308,0.012
1000000000000000000,1000000000000000000,0.323,0.012
1000000000000000000,1000000000000000000,0.353,0.15
1000000000000000000,1000000000000000000,0.304,0.012
1000000000000000000,1000000000000000000,0.314,0.011
1000000000000000000,1000000000000000000,0.361,0.126
1000000000000000000,1000000000000000000,0.346,0.012
1000000000000000000,1000000000000000000,0.365,0.112
1000000000000000000,1000000000000000000,0.348,0.029
1000000000000000000,1000000000000000000,0.326,0.013
1000000000000000000,1000000000000000000,0.484,0.05
1000000000000000000,1000000000000000000,0.46,0.014
1000000000000000000,1000000000000000000,0.388,0.013
1000000000000000000,1000000000000000000,0.458,0.012
1000000000000000000,1000000000000000000,0.468,0.013
1000000000000000000,1000000000000000000,0.443,0.012
1000000000000000000,1000000000000000000,0.348,0.012
1000000000000000000,1000000000000000000,0.359,0.124
1000000000000000000,1000000000000000000,0.308,0.011
1000000000000000000,1000000000000000000,0.306,0.012
1000000000000000000,1000000000000000000,0.364,0.011
1000000000000000000,1000000000000000000,0.532,0.045
1000000000000000000,1000000000000000000,0.554,0.012
1000000000000000000,1000000000000000000,0.4,0.019
1000000000000000000,1000000000000000000,0.403,0.012
1000000000000000000,1000000000000000000,0.306,0.012
1000000000000000000,1000000000000000000,0.473,0.082
1000000000000000000,1000000000000000000,0.307,0.013
1000000000000000000,1000000000000000000,0.377,0.013
1000000000000000000,1000000000000000000,0.357,0.011
1000000000000000000,1000000000000000000,0.369,0.159
1000000000000000000,1000000000000000000,0.301,0.012
